month,year,destinationProvinceNameEn,originProvinceNameEn,visitPurposeEn,trips,spendSAR,nights,origin_temp,destination_temp
1,2018,Albaha,Alqassim,Leisure,1754.46,2631692.38,5263.38,12.08,19.0
1,2018,Albaha,Jazan,VFR,1583.6,2375406.99,4750.81,26.09,19.0
1,2018,Albaha,Madinah,Leisure,12733.95,20629002.13,72159.06,14.67,19.0
1,2018,Albaha,Makkah,Business,6568.35,5327660.65,15326.15,20.71,19.0
1,2018,Albaha,Makkah,Leisure,68910.76,44778264.67,390646.05,20.71,19.0
1,2018,Albaha,Makkah,VFR,51606.07,23606287.22,276908.47,20.71,19.0
1,2018,Albaha,Najran,Leisure,3270.99,4088741.38,19625.96,16.06,19.0
1,2018,Albaha,Riyadh,Leisure,3582.75,4478438.89,25079.26,13.36,19.0
1,2018,Albaha,Riyadh,VFR,8061.19,7613346.1,58219.71,13.36,19.0
1,2018,Albaha,Tabuk,Leisure,2448.95,4897898.01,34285.29,9.92,19.0
1,2018,Albaha,Tabuk,VFR,5991.63,8987437.59,179748.75,9.92,19.0
1,2018,Alqassim,Eastern,Other,1428.46,3214043.79,3571.16,,12.08
1,2018,Alqassim,Eastern,VFR,2856.93,5356739.65,12141.94,,12.08
1,2018,Alqassim,Hail,Business,2801.81,1260814.56,9806.34,9.95,12.08
1,2018,Alqassim,Hail,VFR,1400.91,1400905.06,4202.72,9.95,12.08
1,2018,Alqassim,Jouf,Leisure,1417.53,1890045.19,4252.6,8.89,12.08
1,2018,Alqassim,Jouf,VFR,945.02,1512036.15,1890.05,8.89,12.08
1,2018,Alqassim,Madinah,VFR,1697.86,4244650.64,11885.02,14.67,12.08
1,2018,Alqassim,Makkah,Business,2189.45,2262431.23,4378.9,20.71,12.08
1,2018,Alqassim,Makkah,Leisure,6876.36,8806351.34,54200.64,20.71,12.08
1,2018,Alqassim,Makkah,VFR,24391.95,12277000.58,119884.12,20.71,12.08
1,2018,Alqassim,Najran,VFR,3270.99,4906489.66,22896.95,16.06,12.08
1,2018,Alqassim,Northern Borders,VFR,914.07,868364.48,2742.2,10.44,12.08
1,2018,Alqassim,Riyadh,Leisure,2687.06,1343531.67,5374.13,13.36,12.08
1,2018,Alqassim,Riyadh,VFR,23432.27,11866394.26,122009.8,13.36,12.08
1,2018,Aseer,Albaha,Leisure,2995.18,2495979.43,23961.4,19.0,16.26
1,2018,Aseer,Alqassim,Leisure,8772.31,3772092.41,56142.77,12.08,16.26
1,2018,Aseer,Aseer,Leisure,71611.58,29033447.22,310740.56,16.26,16.26
1,2018,Aseer,Aseer,VFR,22653.91,14483077.56,85366.32,16.26,16.26
1,2018,Aseer,Eastern,VFR,5713.86,7142319.54,64995.11,,16.26
1,2018,Aseer,Jazan,Business,1583.6,791802.33,3167.21,26.09,16.26
1,2018,Aseer,Jazan,Leisure,19003.26,4750813.97,82347.44,26.09,16.26
1,2018,Aseer,Jazan,VFR,13496.12,5014401.79,51159.95,26.09,16.26
1,2018,Aseer,Madinah,Leisure,5093.58,10017375.52,30561.48,14.67,16.26
1,2018,Aseer,Makkah,Business,9584.72,6895779.49,21780.7,20.71,16.26
1,2018,Aseer,Makkah,Leisure,142702.65,119490021.6,745317.15,20.71,16.26
1,2018,Aseer,Makkah,VFR,87236.59,72340535.66,499629.96,20.71,16.26
1,2018,Aseer,Najran,Leisure,3270.99,2453244.83,16354.97,16.06,16.26
1,2018,Aseer,Najran,VFR,9569.87,8920089.71,44489.94,16.06,16.26
1,2018,Aseer,Riyadh,Business,566.29,509660.76,2265.16,13.36,16.26
1,2018,Aseer,Riyadh,Leisure,17873.13,30294311.23,169463.13,13.36,16.26
1,2018,Aseer,Riyadh,VFR,28332.61,17763495.05,194508.63,13.36,16.26
1,2018,Aseer,Tabuk,VFR,47933.0,94517885.29,633614.35,9.92,16.26
1,2018,Eastern,Albaha,Leisure,1996.78,3494371.2,7987.13,19.0,
1,2018,Eastern,Alqassim,Business,1754.46,877230.79,14035.69,12.08,
1,2018,Eastern,Alqassim,Leisure,2631.69,1315846.19,2631.69,12.08,
1,2018,Eastern,Alqassim,VFR,23068.34,7609270.75,103156.69,12.08,
1,2018,Eastern,Aseer,Leisure,2427.79,8497259.56,24277.88,16.26,
1,2018,Eastern,Aseer,VFR,4855.58,9711153.78,24277.88,16.26,
1,2018,Eastern,Eastern,Business,1083.44,1619694.26,1821.87,,
1,2018,Eastern,Eastern,Leisure,19726.05,12549862.36,65061.35,,
1,2018,Eastern,Eastern,Other,714.23,214269.59,1428.46,,
1,2018,Eastern,Eastern,VFR,2536.1,2560032.03,5048.01,,
1,2018,Eastern,Hail,Other,1400.91,2101357.59,7004.53,9.95,
1,2018,Eastern,Jazan,Leisure,4750.81,4750813.97,28504.88,26.09,
1,2018,Eastern,Jazan,VFR,3167.21,6334418.63,15836.05,26.09,
1,2018,Eastern,Jouf,VFR,945.02,1653789.54,2835.07,8.89,
